"","city","state"
"1314","ADAIRSVILLE","10"
"5825","KREBS","35"
"49836","SPRINGTOWN","42"
"3836","IMPERIAL","26"
"2472","ELKTON","16"
"14157","BLANCHARD","35"
"5836","CATOOSA","35"
"7239","WESTMORELAND","41"
"41916","ZILLAH","46"
"3485","LONG LAKE","22"
"3271","HART","21"
"34882","SNEADS","9"
"32268","IRMO","39"
"1389","ROYSTON","10"
"110894","PARMA","11"
"3278","WEST BRANCH","21"
"3054","GRAYLING","21"
"7953","CLE ELUM","46"
"5128","KILL DEVIL HILLS","32"
"5927","CRESWELL","36"
"139653","EVERSON","46"
"11778","YALE","21"
"5193","SYLVA","32"
"108081","CELINA","42"
"3232","FREMONT","21"
"1138","JASPER","9"
"11606","GALESBURG","21"
"2304","MORGANTOWN","16"
"382","LEACHVILLE","3"
"897","LA SALLE","5"
"3985","HOOKSETT","28"
"3180","NEWBERRY","21"
"157978","MOUNTAIN LAKE","22"
"49477","HUNTINGTON","42"
"5073","LONG BEACH","32"
"3953","ASHLAND","28"
"999","CAMDEN-WYOMING","7"
"26458","EAGLE LAKE","9"
"65","JEMISON","1"
"14766","CAMBRIDGE SPRINGS","37"
"7226","PIGEON FORGE","41"
"205","MOODY","1"
"3189","NEW HAVEN","21"
"1182","BELLEVIEW","9"
"137","EUTAW","1"
"158299","ST. ROBERT","24"
"88840","OLD BROOKVILLE VILLAGE","31"
"5263","GRIFTON","32"
"2466","RUSSELL SPRINGS","16"
"7572","PORT ARANSAS","42"
"145963","JAMESTOWN","41"
"146255","ITALY","42"
"157013","HAUGHTON","17"
"190983","ANDERSON","24"
"8392","SEWARD","50"
"22517","PERKINS","35"
"7929","WESTPORT","46"
"3523","LAUDERDALE","22"
"1165","UMATILLA","9"
"238345","JAMESTOWN","34"
"182674","SEYMOUR","24"
"176","WINFIELD","1"
"16382","FIFE","46"
"44991","MEDWAY","18"
"1388","LAVONIA","10"
"53149","HALSTEAD","15"
"160723","QUARRYVILLE","37"
"3619","BAY SPRINGS","23"
"9741","BLOOMINGDALE","10"
"182552","DONIPHAN","24"
"7481","LA JOYA","42"
"3796","RED LODGE","25"
"83964","HAYWARD","48"
"83865","NEW GLARUS","48"
"328","EUREKA SPRINGS","3"
"5500","EVENDALE","34"
"1171","CHIEFLAND","9"
"1341","THUNDERBOLT","10"
"7913","CONNELL","46"
"360","HORSESHOE BEND","3"
"7018","VARNVILLE","39"
"7139","SOMERVILLE","41"
"3130","IRON RIVER","21"
"5256","HERTFORD","32"
"113817","LELAND","32"
"2658","DENTON","19"
"393","HARRISBURG","3"
"2659","FEDERALSBURG","19"
"8395","WRANGELL","50"
"1529","HOMEDALE","11"
"1327","KINGSLAND","10"
"3002","BERRIEN SPRINGS-ORONOKO","21"
"5169","GIBSONVILLE","32"
"5269","LIBERTY","32"
"1159","GROVELAND","9"
"7071","COWPENS","39"
"57525","WESTFALL TOWNSHIP","37"
"99624","WEIMAR","42"
"3969","GREENVILLE","28"
"7599","OVERTON","42"
"3724","PARKVILLE","24"
"2775","OAK BLUFFS","20"
"2985","WAYLAND","21"
"5238","CAROLINA BEACH","32"
"7777","HILLSVILLE","45"
"74111","DUNCAN","39"
"7038","LEXINGTON","39"
"3322","CROSWELL","21"
"7735","SALINA","43"
"1543","MCCALL","11"
"208","CALERA","1"
"6736","WALNUTPORT","37"
"7115","CARYVILLE","41"
"5067","WINDSOR","32"
"4230","SWEDESBORO","29"
"22154","CLEVES","34"
"1340","SAVANNAH BEACH","10"
"5320","ZEBULON","32"
"5251","HILLSBOROUGH","32"
"526","AVALON","4"
"1200","EATONVILLE","9"
"7789","PEARISBURG","45"
"1415","HAMPTON","10"
"29","BAYOU LA BATRE","1"
"7465","MALAKOFF","42"
"1129","FLAGLER BEACH","9"
"369","STAR CITY","3"
"7733","MOUNT PLEASANT","43"
"12137","EUPORA","23"
"144344","YANCEYVILLE","32"
"2373","EMINENCE","16"
"7073","LANDRUM","39"
"222","LINCOLN","1"
"2253","SOUTH HUTCHINSON","15"
"5638","JACKSON TOWNSHIP","34"
"104864","MESQUITE","27"
"156088","CAMDEN","7"
"7021","LORIS","39"
"3435","CROSBY","22"
"3037","EAST JORDAN","21"
"8039","MOOREFIELD","47"
"3327","SANDUSKY","21"
"9284","RANGELY","5"
"3681","PLATTSBURG","24"
"169051","ST. GEORGE","39"
"2324","OAK GROVE","16"
"7125","TAZEWELL","41"
"5452","WALTON HILLS","34"
"1046","PANAMA CITY BEACH","9"
"7040","SOUTH CONGAREE","39"
"109183","OSCEOLA","48"
"138544","SISSETON","40"
"108199","HALE CENTER","42"
"182547","LAWSON","24"
"7003","TIMMONSVILLE","39"
"7145","DECHERD","41"
"702","ADELANTO","4"
"5766","PRAGUE","35"
"4015","LEE","28"
"20338","COLLINS","23"
"15489","CHAMBERLAIN","40"
"8232","DARLINGTON","48"
"3095","JONESVILLE","21"
"7668","BROOKSHIRE","42"
"412","MOUNTAIN VIEW","3"
"3003","BRIDGMAN","21"
"7456","WEBSTER","42"
"8399","PALMER","50"
"7328","LOS FRESNOS","42"
"123609","DE LEON","42"
"52280","CHICKAMAUGA","10"
"1240","PORT RICHEY","9"
"9233","CARBONDALE","5"
"3340","CASS CITY","21"
"11471","BRONSON","21"
"8180","WISCONSIN DELLS","48"
"10147","COLONA","12"
"14114","JAY","35"
"74","LINEVILLE","1"
"2726","BERLIN","19"
"7613","WHITEHOUSE","42"
"3221","MONTAGUE","21"
"3280","REED CITY","21"
"137495","ESTACADA","36"
"49621","FERRIS","42"
"3955","BRISTOL","28"
"1500","KETCHUM","11"
"250019","FLANDREAU","40"
"8402","HOMER","50"
"5918","MADRAS","36"
"5886","BANDON","36"
"61","CENTRE","1"
"1262","DUNDEE","9"
"7411","SEAGRAVES","42"
"94","HANCEVILLE","1"
"5116","TABOR CITY","32"
"1172","WILLISTON","9"
"5813","HOMINY","35"
"20707","NORTHWOOD","28"
"9858","REIDSVILLE","10"
"7749","SALEM","43"
"5279","PEMBROKE","32"
"10318","ALORTON","12"
"12044","WABASHA","22"
"110903","WENDELL","11"
"5692","STILWELL","35"
"166585","SOUTH HACKENSACK TOWNSHI","29"
"36982","CLINTON","21"
"3175","FOWLERVILLE","21"
"7911","WOODLAND","46"
"166059","PAYNESVILLE","22"
"3637","MACON","23"
"3166","IMLAY CITY","21"
"254","WILLIAMS","2"
"2947","HARDWICK","20"
"8390","NOME","50"
"3126","EAST TAWAS","21"
"10360","TILTON","12"
"22455","MARIETTA","35"
"161260","ALAMO","41"
"997","HARRINGTON","7"
"445","JACKSON","4"
"20646","WAKEFIELD","28"
"7995","BLAINE","46"
"7644","PANTEGO","42"
"7122","ASHLAND CITY","41"
"7343","PRINCETON","42"
"5928","VENETA","36"
"2433","CALVERT CITY","16"
"3350","HARTFORD","21"
"99326","CENTRAL","39"
"18110","LAKE HELEN","9"
"5334","WILKESBORO","32"
"154833","GRANGER","46"
"63758","TAOS PUEBLO TRIBAL","30"
"14314","PHOENIX","36"
"161692","HOWE","42"
"142502","MILLVILLE","20"
"47639","BETHEL","34"
"5625","GIBSONBURG","34"
"1037","HIGH SPRINGS","9"
"5074","SOUTHPORT","32"
"24351","LINDALE","42"
"3626","VERONA","23"
"4782","BOONVILLE","31"
"12944","SANTA ROSA","30"
"52664","AMBOY","12"
"50054","SWANTON","44"
"7372","WILMER","42"
"32546","EARLY","42"
"288225","SENECA FALLS TOWN","31"
"7473","HIDALGO","42"
"4384","RIVERDALE","29"
"100750","SLINGER","48"
"2606","DIXFIELD","18"
"161337","MOUNTAIN CITY","41"
"74848","SANTAQUIN","43"
"16358","PACIFIC","46"
"8220","WATERLOO","48"
"15601","ALGOOD","41"
"3606","LUCEDALE","23"
"2217","GARDNER","15"
"8231","HOLMEN","48"
"5278","FAIRMONT","32"
"5101","MAIDEN","32"
"453","ANGELS CAMP","4"
"3680","CAMERON","24"
"6697","TELFORD","37"
"3561","MELROSE","22"
"1445","DALLAS","10"
"3928","ALTON","28"
"3087","GLADWIN","21"
"5742","STIGLER","35"
"4173","WOODLYNNE","29"
"7851","COLONIAL BEACH","45"
"4707","DOLGEVILLE","31"
"158497","ANTRIM","28"
"642","NEVADA CITY","4"
"9201","GLENDALE","5"
"6425","PARKSIDE BORO","37"
"15725","FARMERSVILLE","42"
"190504","LAKE CRYSTAL","22"
"92379","SPOONER","48"
"1428","LAKELAND","10"
"75167","LUMMI TRIBAL","46"
"7922","ELMA","46"
"20","ADAMSVILLE","1"
"5831","MCLOUD","35"
"7301","HOOKS","42"
"5521","WOODLAWN","34"
"227247","WOLF POINT","25"
"5881","WARRENTON","36"
"14147","HEAVENER","35"
"161299","BEAN STATION","41"
"5644","LAKEMORE","34"
"182431","KNOB NOSTER","24"
"4996","CLYDE","31"
"158492","CAMPTON","28"
"5844","MULDROW","35"
"6984","PAGELAND","39"
"7138","NEWBERN","41"
"3355","COVERT TOWNSHIP","21"
"1075","LAUDERDALE-BY-THE-SEA","9"
"3661","VANDALIA","24"
"308","PARKER","2"
"3431","DILWORTH","22"
"26003","VAIL","5"
"29073","BRANSON","24"
"5765","CHANDLER","35"
"12281","POTOSI","24"
"6996","EDGEFIELD","39"
"480","HURON","4"
"4534","DULCE TRIBAL POLICE","30"
"57","WEAVER","1"
"7215","MONTEREY","41"
"3155","CEDAR SPRINGS","21"
"1799","ROUND LAKE","12"
"163169","WARD","3"
"7308","RICHWOOD","42"
"7812","ORANGE","45"
"12062","GOODVIEW","22"
"102158","TYBEE ISLAND","10"
"14714","PARKESBURG","37"
"1090","CRYSTAL RIVER","9"
"231248","CACTUS","42"
"2624","RICHMOND","18"
"96243","OSAGE BEACH","24"
"209","COLUMBIANA","1"
"91623","TRINITY","42"
"9558","FRUITLAND PARK","9"
"408","WALDRON","3"
"7366","HUTCHINS","42"
"3555","JORDAN","22"
"92067","COLFAX","46"
"1292","WILDWOOD","9"
"3254","OXFORD","21"
"26707","HEYBURN","11"
"118549","HEPHZIBAH","10"
"81467","CORDELL","35"
"1856","HAVANA","12"
"495","RIO DELL","4"
"7504","ALVARADO","42"
"3486","CALEDONIA","22"
"250531","SCHULENBURG","42"
"7397","DUBLIN","42"
"5304","ELKIN","32"
"4729","NUNDA TOWN AND VILLAGE","31"
"2724","FRUITLAND","19"
"7067","SALUDA","39"
"7080","CLOVER","39"
"99387","BOX ELDER","40"
"3247","LAKE ORION","21"
"124355","NORTH BEND","46"
"24037","BRAZORIA","42"
"87818","BUCKNER","24"
"3569","LONG PRAIRIE","22"
"341","ALMA","3"
"50238","FORKS","46"
"8227","KEWAUNEE","48"
"162766","LAC DU FLAMBEAU","48"
"514","CALIFORNIA CITY","4"
"5915","EAGLE POINT","36"
"20450","PEVELY","24"
"7539","LACY-LAKEVIEW","42"
"7899","CHELAN","46"
"154504","BERLIN","44"
"3492","MORA","22"
"7662","CANTON","42"
"5195","BENSON","32"
"7902","BATTLE GROUND","46"
"8391","PETERSBURG","50"
"12960","BERNALILLO","30"
"91019","CANTON","40"
"8051","CHARLES TOWN","47"
"14125","TUTTLE","35"
"8432","CITRONELLE","1"
"1517","GOODING","11"
"874","FRUITA","5"
"6966","PORT ROYAL","39"
"5181","ERWIN","32"
"4832","GREENWOOD LAKE","31"
"182356","BUFFALO","24"
"7245","JOHNSON CITY","41"
"16882","HEFLIN","1"
"776","MOUNT SHASTA","4"
"97824","BEULAH","33"
"2191","BALDWIN CITY","15"
"5140","WARSAW","32"
"729","BRISBANE","4"
"7268","BELLVILLE","42"
"3488","PARK RAPIDS","22"
"3991","PITTSFIELD","28"
"7470","EDCOUCH","42"
"5135","WALLACE","32"
"778","WEED","4"
"5878","SANDY","36"
"1007","MIDDLETOWN","7"
"6998","WINNSBORO","39"
"803","HUGHSON","4"
"135658","WEST WENDOVER","27"
"28924","IUKA","23"
"178740","ELLSWORTH","48"
"5105","LONGVIEW","32"
"2192","EUDORA","15"
"1270","MULBERRY","9"
"16399","MONROE","46"
"9249","BURLINGTON","5"
"9230","FLORENCE","5"
"3281","GAYLORD","21"
"17897","SEMINOLE TRIBAL","9"
"218","LIVINGSTON","1"
"327","BERRYVILLE","3"
"2776","TISBURY","20"
"7011","TRAVELERS REST","39"
"3160","ROCKFORD","21"
"41914","UNION GAP","46"
"1140","WAUCHULA","9"
"7063","LIBERTY","39"
"121934","BUCKEYE LAKE","34"
"100570","BARRON","48"
"14268","MOLALLA","36"
"5149","LOUISBURG","32"
"3169","BLISSFIELD","21"
"1017","LAUREL","7"
"118","MILLBROOK","1"
"80536","SOUTH NYACK VILLAGE","31"
"5899","MYRTLE CREEK","36"
"3359","MILAN","21"
"182385","BETHANY","24"
"6803","MANSFIELD","37"
"204739","LAC DU FLAMBEAU TRIBAL","48"
"251","WILLCOX","2"
"3035","BOYNE CITY","21"
"472","CRESCENT CITY","4"
"19858","EATON RAPIDS","21"
"5652","RICHFIELD","34"
"620","DOS PALOS","4"
"3364","BELLEVILLE","21"
"5930","TOLEDO","36"
"7965","BUCKLEY","46"
"7204","MOUNT PLEASANT","41"
"3507","PRINCETON","22"
"162603","MARSHALL VILLAGE","48"
"20378","MORTON","23"
"116578","BAINBRIDGE ISLAND","46"
"14159","NEWCASTLE","35"
"1420","OCILLA","10"
"7377","LAKE DALLAS","42"
"3353","PAW PAW","21"
"5551","GRANVILLE","34"
"3956","ENFIELD","28"
"8396","VALDEZ","50"
"3733","WENTZVILLE","24"
"2692","CAPITOL HEIGHTS","19"
"28916","WIGGINS","23"
"1448","BLACKSHEAR","10"
"4993","WHITEHALL","31"
"89298","SPENCER","32"
"142869","SAINT FRANCIS","22"
"5404","BLANCHESTER","34"
"7273","SMITHVILLE","42"
"2686","CHESTERTOWN","19"
"5315","FUQUAY-VARINA","32"
"7224","GATLINBURG","41"
"4122","HAINESPORT TOWNSHIP","29"
"5333","NORTH WILKESBORO","32"
"1310","ALMA","10"
"7320","MARBLE FALLS","42"
"3935","TILTON","28"
"5925","JUNCTION CITY","36"
"3951","LANCASTER","28"
"8268","MINOCQUA","48"
"50239","SEQUIM","46"
"8222","MAUSTON","48"
"815","SONORA","4"
"7358","COCKRELL HILL","42"
"153761","MADISONVILLE","41"
"163041","ST. JOHNS","2"
"182351","CUBA","24"
"258277","LINCOLN HEIGHTS","34"
"1404","NORCROSS","10"
"87941","POLSON","25"
"5478","SWANTON","34"
"16393","ARLINGTON","46"
"2278","EDWARDSVILLE","15"
"8365","BUFFALO","49"
"28418","SPARTA","21"
"103608","CLINTON","18"
"7484","GRANBURY","42"
"9232","RIFLE","5"
"3578","NEWPORT","22"
"352","OZARK","3"
"503","BISHOP","4"
"2546","FARMERVILLE","17"
"7006","FOUNTAIN INN","39"
"9280","ASPEN","5"
"7493","JACKSBORO","42"
"1450","ROCKMART","10"
"61906","OXFORD","18"
"1331","VILLA RICA","10"
"10272","PONTOON BEACH","12"
"4138","WESTAMPTON","29"
"971","STAFFORD SPRINGS","6"
"3475","WAYZATA","22"
"1231","SOUTH BAY","9"
"8215","BLACK RIVER FALLS","48"
"4544","TAOS","30"
"1563","BREESE","12"
"5189","RAEFORD","32"
"158473","BARNSTEAD","28"
"1480","ROSSVILLE","10"
"4026","BUENA","29"
"41918","WAPATO","46"
"297","FLORENCE","2"
"210315","GEORGETOWN","34"
"1038","ALACHUA","9"
"3981","BOSCAWEN","28"
"4258","HIGH BRIDGE","29"
"788","COTATI","4"
"1640","SOUTH CHICAGO HEIGHTS","12"
"267","BUCKEYE","2"
"3947","WINCHESTER","28"
"75132","MILTON","46"
"3958","HAVERHILL","28"
"1533","AMERICAN FALLS","11"
"27067","VENICE","12"
"7696","TREMONTON","43"
"2728","POCOMOKE CITY","19"
"3564","WAITE PARK","22"
"3645","MAGEE","23"
"7581","FRIONA","42"
"6740","NORTHUMBERLAND","37"
"96394","BELGRADE","25"
"8262","WEST MILWAUKEE","48"
"8397","BETHEL","50"
"1539","BUHL","11"
"5055","WADESBORO","32"
"1329","METTER","10"
"2578","BRIDGTON","18"
"4551","LOS LUNAS","30"
"158479","OSSIPEE","28"
"5071","ELIZABETHTOWN","32"
"7917","QUINCY","46"
"32917","HEMPSTEAD","42"
"7053","WALHALLA","39"
"7710","WEST BOUNTIFUL","43"
"7035","BATESBURG","39"
"745","GUADALUPE","4"
"87928","WARRENTON","24"
"7547","MADISONVILLE","42"
"9857","GLENNVILLE","10"
"7948","TUKWILA","46"
"3705","CRYSTAL CITY","24"
"99662","SANGER","42"
"425","BEEBE","3"
"3159","LOWELL","21"
"161403","ONEIDA","41"
"429","DARDANELLE","3"
"4377","MOUNT ARLINGTON","29"
"3941","HINSDALE","28"
"6967","MONCKS CORNER","39"
"7265","ROCKPORT","42"
"7388","EASTLAND","42"
"1247","INDIAN ROCKS BEACH","9"
"5205","MARION","32"
"7271","BASTROP","42"
"371","BOONEVILLE","3"
"477","FIREBAUGH","4"
"2983","PLAINWELL","21"
"7552","DEVINE","42"
"2982","OTSEGO","21"
"410","BARLING","3"
"5806","SPENCER","35"
"1421","COMMERCE","10"
"3794","DILLON","25"
"434","EMERYVILLE","4"
"1348","MORROW","10"
"80281","MENANDS VILLAGE","31"
"5165","BUTNER","32"
"9219","DELTA","5"
"7329","PORT ISABEL","42"
"182658","HOLLISTER","24"
"365","WALNUT RIDGE","3"
"3734","BONNE TERRE","24"
"5773","BROKEN BOW","35"
"210296","DELPHOS","34"
"7135","SMITHVILLE","41"
"7524","GIDDINGS","42"
"8207","NORTH FOND DU LAC","48"
"80594","LIBERTY VILLAGE","31"
"7715","ROOSEVELT","43"
"58832","POULSBO","46"
"2798","ROWLEY","20"
"8004","SELAH","46"
"638","CALISTOGA","4"
"182470","FREDERICKTOWN","24"
"7192","SELMER","41"
"7976","BURLINGTON","46"
"1689","ROSEMONT","12"
"3571","LAKE CITY","22"
"7638","SANSOM PARK VILLAGE","42"
"787","CLOVERDALE","4"
"219353","STALLINGS","32"
"7190","LOUDON","41"
"185909","HUDSON","42"
"3662","LAMAR","24"
"9285","MONTE VISTA","5"
"3839","SCHUYLER","26"
"481","KERMAN","4"
"450","GRIDLEY","4"
"2410","LONDON","16"
"7454","TOMBALL","42"
"5949","INDEPENDENCE","36"
"11169","TAKOMA PARK PRINCE GEO","19"
"124443","MEDICAL LAKE","46"
"7300","WAKE VILLAGE","42"
"8309","MEDFORD","48"
"7347","COMANCHE","42"
"7332","PITTSBURG","42"
"182402","GREENWOOD","24"
"7958","OMAK","46"
"36","FOLEY","1"
"618","WILLITS","4"
"269","EL MIRAGE","2"
"484","ORANGE COVE","4"
"7023","NORTH MYRTLE BEACH","39"
"158504","EPSOM","28"
"376","LONOKE","3"
"7353","DALHART","42"
"2608","NORWAY","18"
"4254","FLEMINGTON","29"
"59199","DELAVAN TOWN","48"
"7687","DECATUR","42"
"2538","BERWICK","17"
"7786","ROCKY MOUNT","45"
"32456","PORTLAND","41"
"2834","HADLEY","20"
"696","NEEDLES","4"
"2931","ASHBURNHAM","20"
"671","LINCOLN","4"
"7081","FORT MILL","39"
"4216","EAST GREENWICH TOWNSHIP","29"
"3921","WINNEMUCCA","27"
"8400","NORTH SLOPE BOROUGH","50"
"1092","GREEN COVE SPRINGS","9"
"5391","MONROE","34"
"5187","AHOSKIE","32"
"97","DALEVILLE","1"
"7270","MULESHOE","42"
"1580","STONE PARK","12"
"3914","FALLON","27"
"212645","WILLIS","42"
"5258","AYDEN","32"
"1248","KENNETH CITY","9"
"7711","WOODS CROSS","43"
"4525","RUIDOSO","30"
"1516","EMMETT","11"
"5597","BROOKVILLE","34"
"7632","LAKE WORTH","42"
"115","WETUMPKA","1"
"8403","KENAI","50"
"5092","MOREHEAD CITY","32"
"7087","BELLE FOURCHE","40"
"7262","DIBOLL","42"
"5924","FLORENCE","36"
"7430","WHITE OAK","42"
"3942","JAFFREY","28"
"83571","WASHOUGAL","46"
"2980","ALLEGAN","21"
"122962","POCONO MOUNTAIN REGIONAL","37"
"2627","MADISON","18"
"411","DE QUEEN","3"
"861","EDGEWATER","5"
"1933","WILMINGTON","12"
"7738","GRANTSVILLE","43"
"95533","WARREN","20"
"4019","CHARLESTOWN","28"
"280","TOLLESON","2"
"1504","SANDPOINT","11"
"5106","SILER CITY","32"
"7272","ELGIN","42"
"7892","OTHELLO","46"
"16792","JACKSON","49"
"7540","MCGREGOR","42"
"165597","ST. LOUIS","21"
"3589","BUFFALO","22"
"1368","CLARKSTON","10"
"80345","WAPPINGERS FALLS VILLAGE","31"
"57081","WEST BRANDYWINE TOWNSHIP","37"
"3494","INTERNATIONAL FALLS","22"
"7407","STAFFORD","42"
"358","NASHVILLE","3"
"150656","CHARLESTON","24"
"1490","GARDEN CITY","11"
"2117","GLENWOOD","14"
"855","GLENWOOD SPRINGS","5"
"221","CHILDERSBURG","1"
"7251","SPARTA","41"
"5199","SELMA","32"
"5771","PURCELL","35"
"4014","FARMINGTON","28"
"3932","MEREDITH","28"
"15117","NEW HANOVER TOWNSHIP","37"
"5204","LINCOLNTON","32"
"7450","SEABROOK","42"
"4540","BLOOMFIELD","30"
"7792","EMPORIA","45"
"40701","NORTHEASTERN REGIONAL","37"
"1453","EATONTON","10"
"7206","SWEETWATER","41"
"3287","ZEELAND","21"
"2060","VINTON","14"
"11008","PATTERSON","17"
"998","SMYRNA","7"
"3817","SIDNEY","25"
"805","CORNING","4"
"93105","CALIMESA","4"
"8389","KODIAK","50"
"14599","ATHENS TOWNSHIP","37"
"10256","STAUNTON","12"
"1227","PAHOKEE","9"
"7951","PORT ORCHARD","46"
"1427","BARNESVILLE","10"
"3244","HOLLY","21"
"7967","STEILACOOM","46"
"1008","NEW CASTLE","7"
"122712","MID-CUMBERLAND VALLEY RE","37"
"483","MENDOTA","4"
"1237","DADE CITY","9"
"3990","PEMBROKE","28"
"8188","MADISON TOWN","48"
"7583","LIVINGSTON","42"
"255","PAGE","2"
"8291","RICHLAND CENTER","48"
"54260","NORTHFIELD TOWNSHIP","21"
"1307","DE FUNIAK SPRINGS","9"
"165907","ST. FRANCIS","22"
"7527","DAYTON","42"
"2494","MARKSVILLE","17"
"166457","HILLSBOROUGH","28"
"5461","VERMILION","34"
"3250","MILFORD","21"
"1371","EASTMAN","10"
"9200","SHERIDAN","5"
"7472","ELSA","42"
"80514","ALBION VILLAGE","31"
"9771","STONE MOUNTAIN","10"
"4035","MULLICA TOWNSHIP","29"
"7618","AZLE","42"
"1527","RUPERT","11"
"5829","TECUMSEH","35"
"896","EVANS","5"
"7337","CHILDRESS","42"
"3260","SOUTH LYON","21"
"7981","MARYSVILLE","46"
"5117","WHITEVILLE","32"
"1392","HAPEVILLE","10"
"3963","PLYMOUTH","28"
"11468","COLOMA TOWNSHIP","21"
"2544","PONCHATOULA","17"
"5399","MILFORD","34"
"1142","CLEWISTON","9"
"4543","TRUTH OR CONSEQUENCES","30"
"1022","SEAFORD","7"
"6781","SELINSGROVE","37"
"3639","BATESVILLE","23"
"5591","MORAINE","34"
"7494","EDNA","42"
"5893","PRINEVILLE","36"
"8375","POWELL","49"
"511","TAFT","4"
"6982","CHERAW","39"
"1125","NEPTUNE BEACH","9"
"1988","NORTH VERNON","13"
"1400","CALHOUN","10"
"1049","STARKE","9"
"2468","SHELBYVILLE","16"
"622","LIVINGSTON","4"
"7602","INGLESIDE","42"
"5126","HOPE MILLS","32"
"182411","CARL JUNCTION","24"
"1158","CLERMONT","9"
"80572","BATH VILLAGE","31"
"7189","LENOIR CITY","41"
"7624","EVERMAN","42"
"5950","MONMOUTH","36"
"4006","RAYMOND","28"
"5623","CLYDE","34"
"216248","WALKER","17"
"250641","PALMVIEW","42"
"4538","AZTEC","30"
"7734","RICHFIELD","43"
"33267","SNOHOMISH","46"
"1143","BROOKSVILLE","9"
"3730","RICHMOND","24"
"7999","GRANDVIEW","46"
"7354","ADDISON","42"
"186","MONROEVILLE","1"
"14332","LINCOLN CITY","36"
"15611","LA VERGNE","41"
"3122","BELDING","21"
"4188","FAIRFIELD TOWNSHIP","29"
"7420","SANTA FE","42"
"4549","BELEN","30"
"5731","PAULS VALLEY","35"
"4004","PLAISTOW","28"
"1869","BARTONVILLE","12"
"589","SIGNAL HILL","4"
"4533","ESPANOLA","30"
"7903","CAMAS","46"
"800","RIVERBANK","4"
"7066","FOREST ACRES","39"
"1325","WAYNESBORO","10"
"1163","MOUNT DORA","9"
"63","CLANTON","1"
"3123","IONIA","21"
"7171","LEXINGTON","41"
"5506","HARRISON","34"
"198","ROANOKE","1"
"3167","LAPEER","21"
"7622","CROWLEY","42"
"165543","ONTWA TWP-EDWARDSBURG","21"
"7415","HITCHCOCK","42"
"3506","LITCHFIELD","22"
"7143","WINCHESTER","41"
"6995","SUMMERVILLE","39"
"1194","APOPKA","9"
"4009","SEABROOK","28"
"3727","BOLIVAR","24"
"296","ELOY","2"
"392","TRUMANN","3"
"183","ARAB","1"
"3706","DE SOTO","24"
"7240","COVINGTON","41"
"7431","NAVASOTA","42"
"7553","HONDO","42"
"80595","MONTICELLO VILLAGE","31"
"166155","RICHLAND","23"
"7526","CLEVELAND","42"
"1121","ARCADIA","9"
"1367","CHAMBLEE","10"
"7955","CHEHALIS","46"
"4021","NEWPORT","28"
"1153","MARIANNA","9"
"7182","RIPLEY","41"
"2625","FAIRFIELD","18"
"7521","LAMPASAS","42"
"2485","VERSAILLES","16"
"7001","LAKE CITY","39"
"2276","BONNER SPRINGS","15"
"5127","SPRING LAKE","32"
"2636","OLD ORCHARD BEACH","18"
"7264","ARANSAS PASS","42"
"2993","HASTINGS","21"
"7008","GREER","39"
"7083","YORK","39"
"7579","CARTHAGE","42"
"7130","CROSSVILLE","41"
"25812","DESERT HOT SPRINGS","4"
"1257","TREASURE ISLAND","9"
"3673","HARRISONVILLE","24"
"1221","LAKE PARK","9"
"3519","EAST GRAND FORKS","22"
"7286","KIRBY","42"
"7266","PLEASANTON","42"
"166113","BAY ST. LOUIS","23"
"7112","ALCOA","41"
"1293","LIVE OAK","9"
"8001","TOPPENISH","46"
"8382","EVANSTON","49"
"2670","ELKTON","19"
"3635","PHILADELPHIA","23"
"184","BOAZ","1"
"7870","GALAX","45"
"1259","AUBURNDALE","9"
"3848","LEXINGTON","26"
"14234","SALLISAW","35"
"522","SUSANVILLE","4"
"7422","GONZALES","42"
"1520","JEROME","11"
"2078","DENISON","14"
"1456","CONYERS","10"
"7530","MEXIA","42"
"7167","SAVANNAH","41"
"7401","BONHAM","42"
"2846","AYER","20"
"202","PELL CITY","1"
"7739","VERNAL","43"
"1787","FOX LAKE","12"
"3413","EAST BETHEL","22"
"1312","WINDER","10"
"7446","HUMBLE","42"
"681","PERRIS","4"
"1198","WINTER GARDEN","9"
"7894","CLARKSTON","46"
"7990","TUMWATER","46"
"8374","CODY","49"
"2263","HAYSVILLE","15"
"2583","FARMINGTON","18"
"5147","KERNERSVILLE","32"
"1690","ROBINSON","12"
"675","BEAUMONT","4"
"504","ARVIN","4"
"5186","HENDERSONVILLE","32"
"5933","SWEET HOME","36"
"7489","COMMERCE","42"
"1336","GARDEN CITY","10"
"2813","ORANGE","20"
"676","BLYTHE","4"
"8264","SPARTA","48"
"3102","HOUGHTON","21"
"5759","POTEAU","35"
"3177","HOWELL","21"
"3319","THREE RIVERS","21"
"295","COOLIDGE","2"
"7495","JASPER","42"
"810","LINDSAY","4"
"5164","OXFORD","32"
"182","GUNTERSVILLE","1"
"2172","AUGUSTA","15"
"262","SAFFORD","2"
"51","GREENVILLE","1"
"7136","DICKSON","41"
"9197","ALAMOSA","5"
"5976","GETTYSBURG","37"
"7482","HILLSBORO","42"
"3936","CONWAY","28"
"1045","SPRINGFIELD","9"
"683","SAN JACINTO","4"
"7945","DES MOINES","46"
"1349","RIVERDALE","10"
"7841","FRANKLIN","45"
"34","BAY MINETTE","1"
